"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"32","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.93"
"33","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67053824"
"33","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.90"
"34","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67057408"
"34","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.65"
"35","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67053824"
"35","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.15"
"36","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67055104"
"36","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.94"
"37","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67055104"
"37","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.52"
"38","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054848"
"38","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.04"
"39","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054336"
"39","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.23"
"40","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67053824"
"40","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.53"
"41","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67055104"
"41","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.15"
"42","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054592"
"42","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.71"
"43","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054848"
"43","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.47"
"44","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054336"
"44","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","92.17"
"45","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","dram__bytes_read.sum","byte","67054592"
"45","2457882","tma_multicast_v2","127.0.0.1","void tma_v2_kernel<2, 1>(CUtensorMap_st, int, unsigned long *)","1","7","(32, 1, 1)","(132, 1, 1)","0","9.0","Command line profiler metrics","sm__cycles_active.avg.pct_of_peak_sustained_elapsed","%","91.66"
